Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,
Data,2,record,timestamp,"1070727521",s,distance,"180.14",m,accumulated_power,"3351",watts,speed,"8.071",m/s,power,"154",watts,enhanced_respiration_rate,"22.7",Breaths/min,heart_rate,"108",bpm,cadence,"89",rpm,resistance,"0",,temperature,"19",C,left_right_balance,"181",,left_torque_effectiveness,"71.0",percent,right_torque_effectiveness,"74.5",percent,left_pedal_smoothness,"21.5",percent,right_pedal_smoothness,"22.0",percent,fractional_cadence,"0.0",rpm,left_pco,"0",mm,right_pco,"0",mm,left_power_phase,"344.53125538330085|199.68750312011724",degrees,left_power_phase_peak,"75.93750118652346|136.40625213134769",degrees,right_power_phase,"338.90625529541023|203.9062531860352",degrees,right_power_phase_peak,"63.28125098876955|122.34375191162113",degrees,enhanced_speed,"8.071",m/s,
Data,2,record,timestamp,"1070727522",s,distance,"188.25",m,accumulated_power,"3499",watts,speed,"8.108",m/s,power,"148",watts,enhanced_respiration_rate,"22.7",Breaths/min,heart_rate,"109",bpm,cadence,"89",rpm,resistance,"0",,temperature,"19",C,left_right_balance,"181",,left_torque_effectiveness,"71.0",percent,right_torque_effectiveness,"74.5",percent,left_pedal_smoothness,"21.5",percent,right_pedal_smoothness,"22.0",percent,fractional_cadence,"0.0",rpm,left_pco,"0",mm,right_pco,"0",mm,left_power_phase,"344.53125538330085|199.68750312011724",degrees,left_power_phase_peak,"74.5312511645508|133.59375208740238",degrees,right_power_phase,"338.90625529541023|205.31250320800785",degrees,right_power_phase_peak,"63.28125098876955|122.34375191162113",degrees,enhanced_speed,"8.108",m/s,
Data,2,record,timestamp,"1070727523",s,distance,"196.37",m,accumulated_power,"3651",watts,speed,"8.118",m/s,power,"152",watts,enhanced_respiration_rate,"22.7",Breaths/min,heart_rate,"109",bpm,cadence,"90",rpm,resistance,"0",,temperature,"19",C,left_right_balance,"181",,left_torque_effectiveness,"70.5",percent,right_torque_effectiveness,"74.5",percent,left_pedal_smoothness,"22.5",percent,right_pedal_smoothness,"22.0",percent,fractional_cadence,"0.0",rpm,left_pco,"0",mm,right_pco,"0",mm,left_power_phase,"344.53125538330085|202.50000316406255",degrees,left_power_phase_peak,"73.12500114257814|132.18750206542973",degrees,right_power_phase,"338.90625529541023|205.31250320800785",degrees,right_power_phase_peak,"64.68750101074221|123.75000193359378",degrees,enhanced_speed,"8.118",m/s,
Data,2,record,timestamp,"1070727524",s,distance,"204.52",m,accumulated_power,"3789",watts,speed,"8.155",m/s,power,"138",watts,enhanced_respiration_rate,"22.7",Breaths/min,heart_rate,"110",bpm,cadence,"90",rpm,resistance,"0",,temperature,"19",C,left_right_balance,"183",,left_torque_effectiveness,"66.5",percent,right_torque_effectiveness,"71.0",percent,left_pedal_smoothness,"21.0",percent,right_pedal_smoothness,"21.5",percent,fractional_cadence,"0.0",rpm,left_pco,"0",mm,right_pco,"0",mm,left_power_phase,"344.53125538330085|202.50000316406255",degrees,left_power_phase_peak,"73.12500114257814|132.18750206542973",degrees,right_power_phase,"338.90625529541023|203.9062531860352",degrees,right_power_phase_peak,"64.68750101074221|123.75000193359378",degrees,enhanced_speed,"8.155",m/s,
Data,2,record,timestamp,"1070727525",s,distance,"212.67",m,accumulated_power,"3933",watts,speed,"8.146",m/s,power,"144",watts,enhanced_respiration_rate,"22.7",Breaths/min,heart_rate,"110",bpm,cadence,"89",rpm,resistance,"0",,temperature,"19",C,left_right_balance,"181",,left_torque_effectiveness,"69.0",percent,right_torque_effectiveness,"69.5",percent,left_pedal_smoothness,"21.5",percent,right_pedal_smoothness,"20.0",percent,fractional_cadence,"0.0",rpm,left_pco,"0",mm,right_pco,"0",mm,left_power_phase,"344.53125538330085|202.50000316406255",degrees,left_power_phase_peak,"73.12500114257814|132.18750206542973",degrees,right_power_phase,"340.3125053173829|203.9062531860352",degrees,right_power_phase_peak,"63.28125098876955|122.34375191162113",degrees,enhanced_speed,"8.146",m/s,
Data,2,record,timestamp,"1070727526",s,distance,"220.78",m,accumulated_power,"4077",watts,speed,"8.118",m/s,power,"144",watts,enhanced_respiration_rate,"24.58",Breaths/min,heart_rate,"111",bpm,cadence,"89",rpm,resistance,"0",,temperature,"19",C,left_right_balance,"179",,left_torque_effectiveness,"71.0",percent,right_torque_effectiveness,"68.5",percent,left_pedal_smoothness,"21.5",percent,right_pedal_smoothness,"20.0",percent,fractional_cadence,"0.0",rpm,left_pco,"0",mm,right_pco,"0",mm,left_power_phase,"344.53125538330085|201.0937531420899",degrees,left_power_phase_peak,"67.50000105468752|129.37500202148442",degrees,right_power_phase,"340.3125053173829|203.9062531860352",degrees,right_power_phase_peak,"63.28125098876955|122.34375191162113",degrees,enhanced_speed,"8.118",m/s,
Data,2,record,timestamp,"1070727527",s,distance,"228.91",m,accumulated_power,"4240",watts,speed,"8.127",m/s,power,"163",watts,enhanced_respiration_rate,"24.58",Breaths/min,heart_rate,"112",bpm,cadence,"90",rpm,resistance,"0",,temperature,"19",C,left_right_balance,"181",,left_torque_effectiveness,"67.5",percent,right_torque_effectiveness,"64.5",percent,left_pedal_smoothness,"21.5",percent,right_pedal_smoothness,"19.0",percent,fractional_cadence,"0.0",rpm,left_pco,"0",mm,right_pco,"0",mm,left_power_phase,"344.53125538330085|201.0937531420899",degrees,left_power_phase_peak,"67.50000105468752|129.37500202148442",degrees,right_power_phase,"336.0937552514649|202.50000316406255",degrees,right_power_phase_peak,"61.87500096679689|120.93750188964847",degrees,enhanced_speed,"8.127",m/s,
Data,2,record,timestamp,"1070727528",s,distance,"237.1",m,accumulated_power,"4392",watts,speed,"8.192",m/s,power,"152",watts,enhanced_respiration_rate,"24.58",Breaths/min,heart_rate,"112",bpm,cadence,"90",rpm,resistance,"0",,temperature,"19",C,left_right_balance,"183",,left_torque_effectiveness,"67.0",percent,right_torque_effectiveness,"73.0",percent,left_pedal_smoothness,"21.0",percent,right_pedal_smoothness,"23.0",percent,fractional_cadence,"0.0",rpm,left_pco,"0",mm,right_pco,"0",mm,left_power_phase,"343.1250053613282|201.0937531420899",degrees,left_power_phase_peak,"66.09375103271486|126.5625019775391",degrees,right_power_phase,"336.0937552514649|203.9062531860352",degrees,right_power_phase_peak,"60.46875094482424|120.93750188964847",degrees,enhanced_speed,"8.192",m/s,
Data,2,record,timestamp,"1070727529",s,distance,"245.3",m,accumulated_power,"4534",watts,speed,"8.183",m/s,power,"142",watts,enhanced_respiration_rate,"24.58",Breaths/min,heart_rate,"113",bpm,cadence,"90",rpm,resistance,"0",,temperature,"19",C,left_right_balance,"183",,left_torque_effectiveness,"67.0",percent,right_torque_effectiveness,"73.0",percent,left_pedal_smoothness,"21.0",percent,right_pedal_smoothness,"23.0",percent,fractional_cadence,"0.0",rpm,left_pco,"0",mm,right_pco,"0",mm,left_power_phase,"343.1250053613282|199.68750312011724",degrees,left_power_phase_peak,"67.50000105468752|126.5625019775391",degrees,right_power_phase,"338.90625529541023|202.50000316406255",degrees,right_power_phase_peak,"61.87500096679689|122.34375191162113",degrees,enhanced_speed,"8.183",m/s,
Data,2,record,timestamp,"1070727530",s,distance,"253.44",m,accumulated_power,"4682",watts,speed,"8.146",m/s,power,"148",watts,enhanced_respiration_rate,"24.26",Breaths/min,heart_rate,"114",bpm,cadence,"90",rpm,resistance,"0",,temperature,"19",C,left_right_balance,"179",,left_torque_effectiveness,"66.0",percent,right_torque_effectiveness,"71.0",percent,left_pedal_smoothness,"20.0",percent,right_pedal_smoothness,"20.0",percent,fractional_cadence,"0.0",rpm,left_pco,"0",mm,right_pco,"0",mm,left_power_phase,"344.53125538330085|199.68750312011724",degrees,left_power_phase_peak,"68.90625107666017|127.96875199951175",degrees,right_power_phase,"338.90625529541023|202.50000316406255",degrees,right_power_phase_peak,"61.87500096679689|122.34375191162113",degrees,enhanced_speed,"8.146",m/s,
