record.timestamp[s],record.distance[m],record.accumulated_power[watts],record.speed[m/s],record.power[watts],record.heart_rate[bpm],record.cadence[rpm],record.resistance,record.temperature[C],record.left_right_balance,record.left_torque_effectiveness[percent],record.right_torque_effectiveness[percent],record.left_pedal_smoothness[percent],record.right_pedal_smoothness[percent],record.fractional_cadence[rpm],record.left_pco[mm],record.right_pco[mm],record.left_power_phase[degrees],record.left_power_phase_peak[degrees],record.right_power_phase[degrees],record.right_power_phase_peak[degrees],record.enhanced_speed[m/s],record.enhanced_respiration_rate[Breaths/min],
"1070727537","309.53","5642","7.959","143","115","88","0","19","179","73.0","71.0","22.0","21.5","0.0","0","0","344.53125538330085|203.9062531860352","80.15625125244142|143.43750224121098","340.3125053173829|206.7187532299805","63.28125098876955|126.5625019775391","7.959","23.26",
"1070727538","317.52","5781","8.006","139","115","88","0","19","180","74.5","75.5","23.0","24.5","0.0","0","0","343.1250053613282|205.31250320800785","84.3750013183594|147.65625230712894","338.90625529541023|208.1250032519532","63.28125098876955|126.5625019775391","8.006","23.26",
"1070727539","325.54","5913","8.024","132","114","88","0","19","181","74.5","75.5","23.0","24.5","0.0","0","0","341.71875533935554|202.50000316406255","85.78125134033205|149.0625023291016","338.90625529541023|208.1250032519532","63.28125098876955|125.15625195556643","8.024","23.26",
"1070727540","333.65","6080","8.108","167","114","89","0","19","169","69.5","69.5","19.5","20.5","0.0","0","0","341.71875533935554|201.0937531420899","82.96875129638674|146.25000228515628","338.90625529541023|205.31250320800785","63.28125098876955|123.75000193359378","8.108","23.26",
"1070727541","341.77","6229","8.118","149","113","90","0","19","187","66.0","69.5","19.0","20.5","0.0","0","0","341.71875533935554|194.0625030322266","71.71875112060549|130.78125204345707","345.9375054052735|198.2812530981446","63.28125098876955|119.5312518676758","8.118","24.95",
"1070727542","349.86","6357","8.09","128","113","89","0","19","184","66.0","70.0","20.5","18.0","0.0","0","0","338.90625529541023|192.65625301025395","66.09375103271486|126.5625019775391","345.9375054052735|198.2812530981446","63.28125098876955|119.5312518676758","8.09","24.95",
"1070727543","357.85","6357","7.987","121","112","89","0","19","180","69.5","71.0","21.0","19.5","0.0","0","0","338.90625529541023|192.65625301025395","66.09375103271486|126.5625019775391","344.53125538330085|195.46875305419925","59.06250092285158|116.7187518237305","7.987","24.95",
"1070727544","365.72","6599","7.875","121","112","87","0","19","182","66.0","67.0","19.5","18.5","0.0","0","0","338.90625529541023|192.65625301025395","70.31250109863284|130.78125204345707","344.53125538330085|195.46875305419925","59.06250092285158|116.7187518237305","7.875","24.95",
"1070727545","373.47","6717","7.754","118","111","85","0","19","182","66.0","67.0","19.5","18.5","0.0","0","0","341.71875533935554|191.2500029882813","71.71875112060549|130.78125204345707","340.3125053173829|196.87500307617194","59.06250092285158|116.7187518237305","7.754","24.95",
"1070727546","381.12","6824","7.642","107","110","84","0","19","182","65.0","66.5","20.0","19.0","0.0","0","0","343.1250053613282|191.2500029882813","70.31250109863284|127.96875199951175","341.71875533935554|196.87500307617194","60.46875094482424|118.12500184570315","7.642","26.08",
"1070727547","388.7","6945","7.586","121","110","83","0","19","180","68.5","65.5","21.0","18.0","0.0","0","0","343.1250053613282|191.2500029882813","71.71875112060549|129.37500202148442","343.1250053613282|196.87500307617194","61.87500096679689|118.12500184570315","7.586","26.08",
"1070727548","396.29","7084","7.595","139","109","84","0","19","180","74.0","65.5","21.5","18.0","0.0","0","0","344.53125538330085|192.65625301025395","73.12500114257814|130.78125204345707","344.53125538330085|198.2812530981446","63.28125098876955|119.5312518676758","7.595","26.08",
"1070727549","403.97","7260","7.679","176","108","86","0","19","180","91.0","72.5","29.0","21.5","0.0","0","0","341.71875533935554|203.9062531860352","73.12500114257814|129.37500202148442","344.53125538330085|198.2812530981446","63.28125098876955|119.5312518676758","7.679","26.08",
"1070727550","411.95","7429","7.968","169","109","89","0","19","180","76.0","80.5","25.0","24.5","0.0","0","0","341.71875533935554|203.9062531860352","73.12500114257814|129.37500202148442","341.71875533935554|201.0937531420899","60.46875094482424|116.7187518237305","7.968","26.08",
"1070727551","420.09","7570","8.146","141","109","90","0","19","183","76.0","80.5","25.0","24.5","0.0","0","0","336.0937552514649|206.7187532299805","73.12500114257814|130.78125204345707","337.5000052734376|202.50000316406255","60.46875094482424|118.12500184570315","8.146","24.48",
"1070727552","428.21","7711","8.118","141","109","89","0","19","183","76.0","80.5","25.0","24.5","0.0","0","0","331.87500518554697|201.0937531420899","71.71875112060549|132.18750206542973","329.06250514160166|199.68750312011724","60.46875094482424|120.93750188964847","8.118","24.48",
"1070727553","436.29","7857","8.09","146","109","89","0","19","180","78.5","72.0","26.0","22.5","0.0","0","0","333.2812552075196|196.87500307617194","74.5312511645508|136.40625213134769","327.656255119629|196.87500307617194","61.87500096679689|120.93750188964847","8.09","24.48",
"1070727554","444.35","7993","8.052","136","110","88","0","19","181","74.0","72.5","23.5","22.0","0.0","0","0","331.87500518554697|195.46875305419925","73.12500114257814|135.00000210937503","329.06250514160166|196.87500307617194","63.28125098876955|122.34375191162113","8.052","24.48",
"1070727555","452.4","8140","8.052","147","110","88","0","19","180","73.0","72.5","24.0","22.0","0.0","0","0","331.87500518554697|194.0625030322266","70.31250109863284|129.37500202148442","330.4687551635743|198.2812530981446","64.68750101074221|123.75000193359378","8.052","23.4",
"1070727556","460.4","8287","7.996","147","110","88","0","19","183","75.5","76.5","23.5","24.0","0.0","0","0","331.87500518554697|194.0625030322266","70.31250109863284|129.37500202148442","330.4687551635743|198.2812530981446","64.68750101074221|123.75000193359378","7.996","23.4",
"1070727557","468.4","8426","8.006","139","110","88","0","19","183","73.5","75.5","24.5","23.0","0.0","0","0","331.87500518554697|194.0625030322266","70.31250109863284|129.37500202148442","330.4687551635743|198.2812530981446","64.68750101074221|123.75000193359378","8.006","23.4",
"1070727558","476.38","8571","7.978","145","110","88","0","19","179","79.0","75.5","26.0","23.0","0.0","0","0","337.5000052734376|195.46875305419925","70.31250109863284|129.37500202148442","331.87500518554697|199.68750312011724","63.28125098876955|122.34375191162113","7.978","23.4",
"1070727559","484.32","8710","7.94","139","110","87","0","19","179","79.0","75.5","26.0","23.0","0.0","0","0","338.90625529541023|196.87500307617194","70.31250109863284|129.37500202148442","333.2812552075196|199.68750312011724","60.46875094482424|119.5312518676758","7.94","23.4",
"1070727560","492.27","8864","7.94","154","109","88","0","19","180","77.5","72.0","24.0","22.5","0.0","0","0","340.3125053173829|196.87500307617194","70.31250109863284|129.37500202148442","336.0937552514649|198.2812530981446","59.06250092285158|118.12500184570315","7.94","22.69",
"1070727561","500.22","8999","7.959","135","109","88","0","19","181","80.5","73.5","26.5","22.0","0.0","0","0","337.5000052734376|195.46875305419925","71.71875112060549|132.18750206542973","336.0937552514649|198.2812530981446","59.06250092285158|118.12500184570315","7.959","22.69",
"1070727562","508.2","9140","7.968","141","108","87","0","19","181","80.5","73.5","26.5","22.0","0.0","0","0","337.5000052734376|195.46875305419925","73.12500114257814|132.18750206542973","336.0937552514649|198.2812530981446","59.06250092285158|118.12500184570315","7.968","22.69",
"1070727563","516.11","9295","7.922","155","107","87","0","19","180","75.5","75.0","23.5","22.5","0.0","0","0","337.5000052734376|195.46875305419925","73.12500114257814|132.18750206542973","333.2812552075196|196.87500307617194","61.87500096679689|119.5312518676758","7.922","22.69",
"1070727564","524.1","9295","7.987","131","107","87","0","19","179","87.5","72.0","28.5","22.5","0.0","0","0","337.5000052734376|195.46875305419925","73.12500114257814|132.18750206542973","333.2812552075196|196.87500307617194","61.87500096679689|119.5312518676758","7.987","22.69",
"1070727565","532.06","9557","7.959","131","106","88","0","19","181","73.5","72.5","24.5","22.5","0.0","0","0","334.6875052294923|198.2812530981446","71.71875112060549|129.37500202148442","333.2812552075196|196.87500307617194","61.87500096679689|119.5312518676758","7.959","22.69",
"1070727566","539.9","9678","7.847","121","106","86","0","19","181","73.5","72.5","24.5","22.5","0.0","0","0","334.6875052294923|196.87500307617194","73.12500114257814|132.18750206542973","333.2812552075196|198.2812530981446","61.87500096679689|119.5312518676758","7.847","23.0",
"1070727567","547.71","9831","7.8","153","106","86","0","19","179","73.5","72.5","24.5","22.5","0.0","0","0","337.5000052734376|195.46875305419925","77.34375120849612|139.218752175293","337.5000052734376|196.87500307617194","63.28125098876955|120.93750188964847","7.8","23.0",
"1070727568","555.61","9964","7.903","133","105","87","0","19","178","88.0","69.5","29.0","20.5","0.0","0","0","338.90625529541023|202.50000316406255","74.5312511645508|136.40625213134769","336.0937552514649|198.2812530981446","63.28125098876955|120.93750188964847","7.903","23.0",
"1070727569","563.53","10099","7.912","135","105","87","0","19","179","74.0","79.0","24.0","23.5","0.0","0","0","337.5000052734376|202.50000316406255","71.71875112060549|133.59375208740238","333.2812552075196|198.2812530981446","63.28125098876955|119.5312518676758","7.912","23.0",
"1070727570","571.41","10230","7.894","131","105","87","0","19","176","74.0","79.0","24.0","23.5","0.0","0","0","337.5000052734376|198.2812530981446","68.90625107666017|127.96875199951175","331.87500518554697|198.2812530981446","63.28125098876955|120.93750188964847","7.894","23.0",
"1070727571","579.31","10359","7.884","129","104","86","0","19","177","74.0","79.0","24.0","23.5","0.0","0","0","340.3125053173829|196.87500307617194","68.90625107666017|126.5625019775391","334.6875052294923|196.87500307617194","63.28125098876955|120.93750188964847","7.884","23.2",
"1070727572","587.18","10510","7.884","151","102","87","0","19","178","77.5","68.0","24.0","19.0","0.0","0","0","340.3125053173829|196.87500307617194","70.31250109863284|126.5625019775391","334.6875052294923|196.87500307617194","63.28125098876955|120.93750188964847","7.884","23.2",
"1070727573","595.06","10657","7.866","147","102","88","0","19","180","78.5","79.5","26.5","22.5","0.0","0","0","340.3125053173829|196.87500307617194","70.31250109863284|126.5625019775391","336.0937552514649|196.87500307617194","61.87500096679689|119.5312518676758","7.866","23.2",
"1070727574","603.2","10862","8.146","205","103","90","0","19","180","78.5","79.5","26.5","22.5","0.0","0","0","337.5000052734376|198.2812530981446","68.90625107666017|126.5625019775391","331.87500518554697|198.2812530981446","60.46875094482424|118.12500184570315","8.146","23.2",
"1070727575","611.37","10995","8.174","133","104","91","0","19","180","82.5","81.0","23.5","23.0","0.0","0","0","336.0937552514649|196.87500307617194","68.90625107666017|129.37500202148442","329.06250514160166|196.87500307617194","61.87500096679689|120.93750188964847","8.174","24.52",
